person,block,trial,id,found,class,x,y
2,2,4,40,40,1,0.8728889227432326,0.977278544718137
2,1,5,1,1,0,0.0430935727716078,0.1850246886643145
2,2,5,1,1,0,0.0157736039868918,0.15065736256832554
2,1,5,2,2,0,0.15080719441767176,0.21188121486411474
2,2,5,2,2,1,0.27013211625311356,0.08563836787395841
2,1,5,3,3,0,0.1439227468884532,0.2884363869411432
2,2,5,3,3,1,0.34609428286939536,0.017691553895425132
2,1,5,4,4,0,0.23788350121973173,0.3394501260129704
2,2,5,4,4,1,0.44237404463759605,0.06957106655249026
2,1,5,5,5,0,0.2663372396445522,0.429405945790156
2,2,5,5,5,0,0.5477164902192467,0.22510013681058474
2,1,5,6,6,1,0.34818098115411994,0.40903882403947334
2,2,5,6,6,0,0.47224742478158577,0.19197873441730726
2,1,5,7,7,0,0.5252168908648678,0.4130948986482576
2,2,5,7,7,0,0.45770828045145645,0.301374835814145
2,1,5,8,8,1,0.47728241802147686,0.3348436118148575
2,2,5,8,8,1,0.6621635385061448,0.05032253028437223
2,1,5,9,9,0,0.5243077642988102,0.2788065180835882
2,2,5,9,9,1,0.7387147375134013,0.029570308788171726
2,1,5,10,10,0,0.5724499601679409,0.16802653487913535
2,2,5,10,10,1,0.8695492949868932,0.01972120727938654
2,1,5,11,11,0,0.4539152209916632,0.14060013787576472
2,2,5,11,11,1,0.9499508319392679,0.06659097258397019
2,1,5,12,12,0,0.44272056915172947,0.03166368032172572
2,2,5,12,12,1,0.8708096179542753,0.27340052452434105
2,1,5,13,13,1,0.6774601180157889,0.019914418481374964
2,2,5,13,13,0,0.9880967632313685,0.15327567267544148
2,1,5,14,14,1,0.7747459256995972,0.08035751539078624
2,2,5,14,14,1,0.5607430151353675,0.33108342443768235
2,1,5,15,15,1,0.8820162042713735,0.0598908863055659
2,2,5,15,15,0,0.3289429153419477,0.2978643959567613
2,1,5,16,16,0,0.9346904123443822,0.07639196797808254
2,2,5,16,16,1,0.23258367920334652,0.304673113130736
2,1,5,17,17,1,0.8588652560653365,0.1835668647383921
2,2,5,17,17,0,0.04955922923289879,0.46868691787159056
2,1,5,18,18,0,0.8576424554820158,0.2704031964663282
2,2,5,18,18,0,0.029304068033471617,0.5539462746446169
2,1,5,19,19,1,0.9572640638449991,0.5345341567697318
2,2,5,19,19,0,0.019359086773091796,0.6754066358451455
2,1,5,20,20,1,0.8755370446642915,0.4290350855894902
